feature	GSM3995405	GSM3995404	GSM3995402	GSM3995428	GSM3995427	GSM3995426	GSM3995425	GSM3995424	GSM3995423	GSM3995422	GSM3995421	GSM3995417	GSM3995416	GSM3995415	GSM3995414	GSM3995411	GSM3995410	GSM3995408	GSM3995407	GSM3995406	GSM3995403	GSM3995420	GSM3995419	GSM3995418	GSM3995413	GSM3995412	GSM3995409
PVR.EpithelialCells_to_ImmuneCells	0.07221254069206504	0.08321029821790185	0.07566349674288912	0.10887394943775218	0.11859111079687615	0.08300441402364202	0.08116895837315118	0.10544703866130957	0.09210965172231698	0.08816247883343338	0.07403876642537252	0.10093857044246048	0.10678831097825242	0.11003357410843241	0.06843245116982193	0.08866882977159517	0.05322479986946872	0.08121148650822398	0.09818108076088079	0.07814493870182632	0.08818561970530597	0.09032885258513564	0.08627229575081191	0.08643140123576525	0.09075464812141114	0.09075172800510649	0.09597415110627479
RESISTIN.EndothelialCells_to_EpithelialCells	-0.010689610508178002	-0.008786469062165287	0.002698393645682569	-0.005761289045517321	-0.013092495255803908	-0.010766208891923913	-0.012602977443345813	-0.004089820104273958	-0.013671282719182689	-0.012305234479290186	-0.014604244703675304	-0.018515888401270754	-0.018963002491095695	-0.013279506905644991	-0.00798234726308684	-0.014879781376478614	-0.0134566743779356	-0.016572318445949998	-0.011523584353283895	-0.012023664716174593	-0.013384588748226475	-0.012545135032825314	-0.012823211731106109	-0.009616574226369712	-0.012509590760451326	-0.012515417561358141	-0.011718088056224027
RESISTIN.EndothelialCells_to_Fibroblasts	-0.005883630163182354	-0.007510348575438945	-0.014667376240898516	-0.005612419927826511	-0.0054818975857861135	-0.005472313064703329	-0.005775398412442467	-0.0024776906694935394	0.004243754173733398	-0.00706924967143677	0.0008271865401651242	-0.009238518103980558	-0.012319193893377841	-0.01100630964701775	-0.0075393747958975845	-0.009561350876818355	-0.009878039651660812	-0.001910426675914071	-0.010129458055556251	-0.006335929092445095	-0.003805049061548103	-0.007052457376002597	-0.005345509799768078	-0.006298324503419043	-0.006959889334064019	-0.006960768754258344	-0.007838940319434263
RESISTIN.EndothelialCells_to_ImmuneCells	0.002574513860201043	-0.006430733079363085	-0.011824939769867312	-0.002303964104140527	-0.00974850989700261	-0.009260138498606277	0.0008534862048030458	0.023281247219218128	-0.02358686002409245	-0.008647238923862982	-0.020969302771327632	-0.02902841666723096	-0.012052562424600373	-0.010904078707812273	0.0037364941274004334	-0.014003483641297242	-0.000518939095667244	-0.0039912577461083815	-0.006989859436725086	-0.006664943588678183	0.0018553332541524962	-0.007978963745249245	-0.011510241214944941	-0.010876453432695908	-0.008120467004192835	-0.008105907416682892	-0.00803268302268888
RESISTIN.EpithelialCells_to_EpithelialCells	-0.010689610508178002	-0.008786469062165287	0.002698393645682569	-0.005761289045517321	-0.013092495255803908	-0.010766208891923913	-0.012602977443345813	-0.004089820104273958	-0.013671282719182689	-0.012305234479290186	-0.014604244703675304	-0.018515888401270754	-0.018963002491095695	-0.013279506905644991	-0.00798234726308684	-0.014879781376478614	-0.0134566743779356	-0.016572318445949998	-0.011523584353283895	-0.012023664716174593	-0.013384588748226475	-0.012545135032825314	-0.012823211731106109	-0.009616574226369712	-0.012509590760451326	-0.012515417561358141	-0.011718088056224027
RESISTIN.EpithelialCells_to_Fibroblasts	-0.005883630163182354	-0.007510348575438945	-0.014667376240898516	-0.005612419927826511	-0.0054818975857861135	-0.005472313064703329	-0.005775398412442467	-0.0024776906694935394	0.004243754173733398	-0.00706924967143677	0.0008271865401651242	-0.009238518103980558	-0.012319193893377841	-0.01100630964701775	-0.0075393747958975845	-0.009561350876818355	-0.009878039651660812	-0.001910426675914071	-0.010129458055556251	-0.006335929092445095	-0.003805049061548103	-0.007052457376002597	-0.005345509799768078	-0.006298324503419043	-0.006959889334064019	-0.006960768754258344	-0.007838940319434263
RESISTIN.EpithelialCells_to_ImmuneCells	0.002574513860201043	-0.006430733079363085	-0.011824939769867312	-0.002303964104140527	-0.00974850989700261	-0.009260138498606277	0.0008534862048030458	0.023281247219218128	-0.02358686002409245	-0.008647238923862982	-0.020969302771327632	-0.02902841666723096	-0.012052562424600373	-0.010904078707812273	0.0037364941274004334	-0.014003483641297242	-0.000518939095667244	-0.0039912577461083815	-0.006989859436725086	-0.006664943588678183	0.0018553332541524962	-0.007978963745249245	-0.011510241214944941	-0.010876453432695908	-0.008120467004192835	-0.008105907416682892	-0.00803268302268888
RESISTIN.ImmuneCells_to_EpithelialCells	-0.001558038545244109	-0.03357852564245344	-0.023871429248158698	-0.016479355614167017	-0.006808906638212411	-0.036326436156649516	-0.010088106846177945	-0.011698934360342488	-0.011736311493514605	-0.015546935001919036	-0.0009409999710483384	-0.05632434014428271	-0.05018916111514169	-0.03661951439986953	-0.05756347153011609	-0.010214448999570715	-0.006467536934702328	-0.005638902781543911	-0.027035089370214455	-0.01471445341376191	-0.012680538121837658	-0.018746934966780236	-0.00939625322130517	-0.003762758057244008	-0.018742870181228017	-0.018689928644806116	-0.0188897600477541
RESISTIN.ImmuneCells_to_Fibroblasts	-0.0011576981918669375	-0.03222161677742247	-0.022611058485575562	-0.015572280255045215	-0.004829573996960585	-0.03429635250241584	-0.008831456587760434	-0.01101438896288031	-0.007870817975396264	-0.014019502457758085	0.0018651737643743508	-0.052285089090373445	-0.04748431846580051	-0.035106881501851595	-0.05520894403618506	-0.00889607837435564	-0.0060887032648937215	-0.0025660611130457135	-0.025507993344279594	-0.01323659233500272	-0.011066075323635072	-0.01705389481680688	-0.007913134062975166	-0.0028403743800348045	-0.017037179507693175	-0.016987004824658408	-0.01749199485825336
RESISTIN.ImmuneCells_to_ImmuneCells	-0.0008546902566677205	-0.032551583150589695	-0.0244957574189689	-0.016246169712574705	-0.006615916222477334	-0.03575720789001528	-0.00878983330158823	-0.009100037401969848	-0.013671735891582645	-0.015296608088566624	-0.0027806114295900555	-0.05665070697876656	-0.04926781826538845	-0.03586627535743282	-0.05630240353530181	-0.01057965208259779	-0.0051195271881262555	-0.004255608998543184	-0.026321698732374943	-0.014383907541518077	-0.011585965693398426	-0.018351758194631806	-0.009132010449474823	-0.0037374210603748786	-0.01836568943045646	-0.018311471293127844	-0.01863833785861194
SEMATOSTATIN.EpithelialCells_to_EndothelialCells	-0.00312286244462813	-0.0009370458732442528	-0.0003756450216317877	-0.002963860266206793	-0.003868821966442629	-0.003889114305976336	-5.6466148118377424e-05	-0.000817309266836361	-0.002695733881026169	-0.0031103437446988414	-0.002656434764815848	-0.005522195479288834	-0.0026376649522615006	-0.0027779609726448183	-0.001463050454121069	-0.004122727927465627	-0.0031649159790145525	-0.003181671258625093	-0.0030801343728502255	-0.002799228094507907	-0.003012898534422664	-0.003125680955810816	-0.0021932862733968065	-0.00278979366288295	-0.003065304316829866	-0.003065456940590864	-0.002697056767883718
SEMATOSTATIN.EpithelialCells_to_EpithelialCells	-0.009546574167255946	-0.01078809483574204	-0.007361950886516491	-0.011767295310355178	-0.00849360252110518	-0.00907137965858932	-0.007709025140363658	-0.0015391331954060312	-0.013850444402047975	-0.006845368508917783	0.001903128129615122	-0.010604403146850763	-0.011472234424571685	-0.008933396164617396	-0.007983376614214494	-0.009102152748989222	-0.010816011183962079	-0.013150176924374767	0.00010680849224768449	-0.007101807279930725	-0.008456372077137701	-0.008323442087664881	-0.008007486694099522	-0.006250071755012566	-0.008335367397480404	-0.008334809591069754	-0.007475635326644635
